interfaceFqn	originalClassFile	outcome	bridgesAdded	reason
org.apache.hadoop.yarn.api.ApplicationMasterProtocolJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/ApplicationMasterProtocol.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.yarn.api.protocolrecords.GetQueueInfoResponseJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetQueueInfoResponse.java	implemented	0	
org.apache.hadoop.yarn.api.protocolrecords.GetContainerReportRequestJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetContainerReportRequest.java	implemented	0	
org.apache.hadoop.yarn.api.protocolrecords.FinishApplicationMasterResponseJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/FinishApplicationMasterResponse.java	implemented	0	
org.apache.hadoop.yarn.api.protocolrecords.GetResourceProfileResponseJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetResourceProfileResponse.java	implemented	0	
org.apache.hadoop.yarn.api.protocolrecords.AllocateRequestJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/AllocateRequest.java	implemented	0	
org.apache.hadoop.yarn.api.protocolrecords.GetApplicationAttemptReportResponseJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetApplicationAttemptReportResponse.java	implemented	0	
org.apache.hadoop.yarn.api.protocolrecords.GetClusterNodesResponseJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetClusterNodesResponse.java	implemented	0	
org.apache.hadoop.yarn.api.protocolrecords.CancelDelegationTokenRequestJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/CancelDelegationTokenRequest.java	implemented	0	
org.apache.hadoop.yarn.api.protocolrecords.FailApplicationAttemptResponseJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/FailApplicationAttemptResponse.java	implemented	0	
org.apache.hadoop.yarn.api.protocolrecords.RegisterApplicationMasterRequestJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/RegisterApplicationMasterRequest.java	implemented	0	
org.apache.hadoop.yarn.api.protocolrecords.GetApplicationsResponseJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetApplicationsResponse.java	implemented	0	
org.apache.hadoop.yarn.api.protocolrecords.GetNewApplicationResponseJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetNewApplicationResponse.java	implemented	0	
